customer_id,age,gender,location,time_zone,preferred_contact_method,last_engagement_time,avg_engagement_rate,segment,last_purchase,message_type,sent_time,opened,clicked,purchased,push_app_best_hour,email_app_best_hour,app_most_active_time,event_hour,event_name,category,number_of_users
CUST1000,56,Female,California,CST,Push,2024-09-30 07:12:43,0.65,Loyal Customer,2024-08-09 20:01:35,Transactional,2024-07-08 06:20:02,0,0,0,23,23,10,6,Product Viewed,Smartphones,81
CUST1001,31,Female,Illinois,MST,Email,2024-09-23 09:06:22,0.35,Frequent Buyer,2024-07-26 18:43:35,Promotional,2024-08-15 22:52:02,0,0,0,4,9,16,14,Product Viewed,Smartphones,174
CUST1002,62,Female,Illinois,CST,Push,2024-08-10 16:57:13,0.86,Frequent Buyer,,Informational,2024-09-13 23:55:51,1,1,1,8,8,13,10,Product Viewed,Smartphones,316
CUST1003,50,Male,Texas,EST,Email,2024-07-10 03:09:24,0.7,At-Risk,2024-08-07 00:51:54,Informational,2024-08-09 04:13:19,0,0,0,6,14,9,20,Product Viewed,Smartphones,198
CUST1004,60,Male,New York,CST,Email,2024-07-20 18:08:56,0.43,High-Value,2024-07-20 23:28:11,Promotional,2024-08-28 20:08:11,0,0,0,12,7,7,20,Product Viewed,Smartphones,67
CUST1005,33,Other,Illinois,EST,Push,2024-08-02 02:59:19,0.89,Loyal Customer,,Informational,2024-07-31 13:43:14,0,0,0,12,12,16,15,Product Viewed,Smartphones,73
CUST1006,33,Male,New York,MST,Email,2024-09-20 05:06:27,0.48,First-Time Buyer,2024-09-08 15:59:08,Informational,2024-08-09 03:29:41,0,0,0,15,7,10,17,Product Viewed,Smartphones,266
CUST1007,37,Male,Florida,EST,Email,2024-09-09 14:59:42,0.46,Frequent Buyer,2024-08-16 16:09:14,Promotional,2024-07-27 05:53:41,0,0,0,16,13,11,20,Product Viewed,Smartphones,404
CUST1008,51,Female,Texas,EST,Email,2024-07-19 12:41:02,0.65,Frequent Buyer,,Informational,2024-08-27 19:15:26,0,0,0,15,9,22,5,Product Viewed,Smartphones,496
CUST1009,24,Female,Florida,EST,Push,2024-09-04 11:55:04,0.34,Loyal Customer,,Transactional,2024-09-03 21:38:19,0,0,0,13,13,18,16,Product Viewed,Smartphones,228
CUST1010,63,Male,Florida,CST,Email,2024-09-16 19:45:12,0.15,High-Value,2024-09-02 15:36:02,Informational,2024-07-02 20:29:02,0,0,0,7,10,12,23,Product Viewed,Smartphones,282
CUST1011,23,Male,New York,PST,Push,2024-09-25 05:25:54,0.35,At-Risk,,Informational,2024-09-07 18:38:57,1,0,0,10,10,9,4,Product Viewed,Smartphones,92
CUST1012,19,Female,Florida,MST,Push,2024-08-31 05:06:45,0.75,Loyal Customer,2024-08-28 16:27:44,Transactional,2024-08-28 07:45:33,0,0,0,17,17,4,23,Product Viewed,Smartphones,172
CUST1013,24,Male,Florida,PST,Email,2024-07-21 17:02:36,0.48,Loyal Customer,2024-09-04 09:09:58,Promotional,2024-07-16 00:04:45,0,0,0,10,9,23,20,Product Viewed,Smartphones,421
